Freq,g,acc
0.003,1.00E-05,3.45E-08
0.074,0.00621,0.001051158
0.1,0.01134,0.003832717
0.2,0.02372,0.01886293
0.3,0.06002,0.059318283
0.4,0.11242,0.042055335
0.5,0.17334,-0.13368238
0.6,0.19464,-0.135052589
0.7,0.20364,0.166472177
0.9,0.23385,-0.185821977
1,0.25051,0.018837934
1.1,0.28167,0.144332069
1.19,0.37941,-0.332966655
1.2,0.37941,0.167647831
1.3,0.37941,-0.154372773
1.4,0.37941,0.217424647
1.5,0.37941,-0.325518754
1.6,0.38211,0.379741927
1.61,0.38211,-0.215039854
1.7,0.38211,0.374812626
1.8,0.40347,-0.207793103
1.9,0.40347,-0.319613317
1.955,0.5103,0.503724871
2,0.5103,-0.501531384
2.1,0.5103,-0.306726144
2.2,0.5103,0.119771274
2.3,0.5103,0.396162696
2.4,0.5103,0.493160875
2.5,0.5103,0.509131204
2.6,0.54945,0.546404942
2.645,0.54945,-0.008706115
2.7,0.59495,-0.562039574
2.8,0.59239,-0.346305078
2.9,0.59456,0.128432263
2.933,0.66438,-0.65530114
3,0.66438,-0.664172223
3.15,0.66438,0.604937352
3.3,0.66438,-0.257844018
3.45,0.66438,-0.424029839
3.6,0.66438,0.56397462
3.8,0.66438,0.012748175
3.967,0.66438,0.104324894
3.91,0.7356,-0.735530231
4,0.7356,0.686750457
4.2,0.7356,-0.310967719
4.4,0.7356,0.094133094
4.6,0.7356,-0.203194155
4.675,0.7356,0.20248003
4.8,0.7356,0.091185058
5,0.7356,-0.727802994
5.25,0.7356,-0.122325804
5.29,0.7356,0.676705382
5.5,0.70843,0.645744875
5.75,0.70843,-0.683093135
5.95,0.70843,-0.555956142
6,0.70843,0.189818222
6.25,0.70843,0.599809918
6.325,0.70843,0.4146604
6.5,0.65919,0.520662886
6.588,0.65919,0.627476775
6.75,0.65919,0.609721966
6.8,0.65919,0.431835558
7,0.65919,-0.561156249
7.25,0.65919,-0.483486273
7.5,0.65919,0.572126932
7.75,0.65919,-0.231249113
8,0.65919,0.156998452
8.05,0.65919,0.461455495
8.5,0.65919,0.651016824
8.912,0.62539,0.382822537
9,0.62539,-0.434601549
9.2,0.62539,0.52323787
9.5,0.62539,-0.514668158
9.775,0.60087,0.564131786
10,0.60087,0.544356836
10.5,0.60087,-0.149551015
11,0.60087,-0.281428211
11.5,0.60087,0.248238084
12,0.60087,0.365134165
12.5,0.60087,-0.330752937
13,0.60087,-0.357171158
13.225,0.60087,0.477676303
13.5,0.53487,-0.173102268
14,0.52982,0.30844699
14.5,0.53556,0.218373718
15,0.53503,-0.164301714
16,0.57078,-0.355081015
17,0.74491,-0.540482372
18,0.74491,0.081171492
18.7,0.74491,-0.646209533
20,0.74491,-0.470653818
22,0.74491,0.714314613
22.08,0.74491,-0.395245763
23,0.74491,0.250459704
25,0.73232,0.412904018
25.3,0.73232,0.73196904
25.374,0.45214,0.41555301
28,0.36684,-0.220386539
28.527,0.35707,-0.13488396
31,0.32223,0.025086241
33.943,0.2988,0.09308374
33.956,0.29874,-0.002580718
34,0.29853,-0.076253033
36.236,0.29837,0.28707491
36.279,0.29852,-0.29848562
36.311,0.29862,0.006936195
36.401,0.29888,0.165442488
36.472,0.29906,0.061240524
36.475,0.29906,0.28322693
36.501,0.29912,0.186823927
36.695,0.29939,0.014396886
36.747,0.29941,-0.29232644
37,0.29921,-0.297902407
37.582,0.29717,-0.226830153
37.584,0.29716,-0.099427592
38.323,0.29445,0.185145721
38.946,0.29339,0.090543227
39.236,0.29283,-0.254217044
39.4,0.29238,-0.138957439
39.604,0.29163,0.290667048
40,0.2896,0.287088024
40.35,0.28745,0.172727448
41.325,0.28224,-0.274590485
42.085,0.28,-0.015261924
42.246,0.27983,-0.18195165
42.39,0.27976,-0.114154634
42.83,0.27986,-0.153798636
42.899,0.27989,0.219255073
43.003,0.27995,-0.233667164
43.217,0.28003,-0.180133974
43.359,0.28004,-0.137443263
43.718,0.27988,-0.02919941
44,0.27956,0.200035294
44.5,0.27864,-0.248897584
44.729,0.27812,0.052557439
45.822,0.27537,-0.232694562
47.207,0.27162,-0.120721762
47.957,0.26979,0.013388089
48,0.2697,0.210992646
48.935,0.26785,0.127738062
49.087,0.26757,-0.08307866
50.874,0.26454,0.221958085
52,0.26259,0.15185127
52.033,0.26254,0.035375666
52.346,0.26204,0.250722863
53.365,0.26049,0.130122732
53.485,0.26032,0.111688717
57,0.25626,0.00863715
57.581,0.25568,0.25451899
58.271,0.25506,-0.252638543
58.697,0.25472,0.207872471
58.751,0.25467,0.163148526
59.291,0.25427,0.25422822
59.577,0.25407,0.203494666
59.598,0.25405,-0.196013101
59.726,0.25396,0.238100478
62,0.25235,0.123032801
64.202,0.25107,0.153203037
68,0.2493,-0.137441885
75,0.24678,-0.161186663
82,0.24487,-0.244496483
90,0.24327,-0.236595902
100,0.24327,0.157645959
100,0.24327,-0.219144248
